k,n,t,y
0.7919067368596775,1,0.7314480140884004,0.43967517009619506
0.10678361113099455,1,0.5319746620329276,0.05522282736117279
0.4974750810109012,3,0.14942622421991447,0.0016584081806431117
0.917055495884252,4,0.7667704574540433,0.27166809810802117
0.8734016205907441,3,0.9240446906610904,0.49798080999146543
0.24004521311197002,2,0.7589408389898517,0.1291311866944227
0.23848668198049205,4,0.8317722718348759,0.10787727257714552
0.9445348782174925,2,0.9672498415609783,0.5867409433631046
0.49390623160816705,2,0.4307747296662019,0.08757795959366033
0.02690528943928394,1,0.9589023642752794,0.025469581112249506
0.7358252973495157,2,0.12319846231599951,0.011106120741388392
0.6640801347114884,2,0.2757414405997147,0.04923868588090907
0.2829627541065586,1,0.3342912902951527,0.09025595127926689
0.16767941644304674,2,0.5016536167744722,0.041319663903085835
0.952666718378567,2,0.40359453200788087,0.14373767627120848
0.5935748338333077,4,0.4385636171359488,0.021719325929082656
0.20113091526535787,2,0.1364959809657017,0.003740288449266216
0.1308161184331652,1,0.18196559785674093,0.023522951908284906
0.19420411721270792,1,0.5865958821593865,0.10767006763295472
0.20406472699476075,1,0.09215921103794977,0.018630706459985658
0.8156458198844321,4,0.8778514097456621,0.38392057851805717
0.4403634563723132,2,0.862617398177993,0.27940521113652383
0.9094254569524429,1,0.2934662000065399,0.23423935582627176
0.1754070129705435,4,0.7602106027178913,0.05690144398690866
0.8190772184126337,1,0.728911749766595,0.4495587273163255
0.7292573907589485,2,0.4431551190175903,0.13343336984210308
0.9174492082701511,2,0.4458079815657171,0.16668055208305055
0.5878969631539804,1,0.14680693504404563,0.08268774920773769
0.6261065218277903,4,0.6529677561399736,0.10758062589431439
0.6222791278264213,2,0.33150218758359495,0.06609873284167189
0.9205213583930828,3,0.9474935914873501,0.54296792984717
0.7247617318460194,2,0.8723012388493769,0.42390232136553396
0.9880470356210388,1,0.7272389426801833,0.5125396287067713
0.4449161006632991,2,0.7787883951538783,0.23650344867979545
0.0908225754261246,3,0.8162296112847979,0.048189263656755243
0.24549671715478327,2,0.4933452598863576,0.05800125285216762
0.7845774905934358,2,0.34452824124903925,0.08892414526349912
0.7878196764732195,3,0.07204322847968192,0.0002945386943740136
0.014242767377403043,2,0.12108045750900631,0.00020878396786050413
0.5535164371249964,4,0.9006204064671272,0.3052231331074594
0.10033844990574614,3,0.8535828878622538,0.060495677243413426
0.8975225049942236,2,0.9923403715877189,0.5868009268313563
0.3224685266242563,1,0.00887205649342715,0.0028568703424802777
0.14726732936108233,3,0.07420434627985151,6.017018894599602e-05
0.6855187834059521,3,0.22733864170144247,0.008022159654026195
0.818947794284309,4,0.9713761883156865,0.5176724273994958
0.6299077242400724,2,0.09573647254715478,0.005756767663209539
0.6844574613722202,3,0.6082123153641219,0.14272535572527978
0.029269922527643488,3,0.12444184775979161,5.640384076710525e-05
0.17321757401058624,2,0.04293698346422403,0.00031929025907484476
