k,n,t,y
0.618878941586386,2,0.040588624919568606,0.00103299450805184
0.05350837920607365,2,0.36696497997796906,0.007151333144895965
0.055847575413542794,1,0.458910343648285,0.024886085622317394
0.7469849587620946,3,0.09582681251376424,0.0006187630720353726
0.44255100814807546,3,0.20207614164902632,0.003580465545368768
0.48437629578056973,2,0.5808219236189518,0.165003068183432
0.8000890431618357,3,0.5804492708338913,0.145363020015872
0.7670785738251749,1,0.6039238471246419,0.4128788714978711
0.5280694390605823,1,0.19515024944350579,0.10083730096469756
0.49677429392259276,4,0.4098271998664469,0.013859508489525756
0.40270960283813284,3,0.39870960311670756,0.025905012651547044
0.6796598622793951,1,0.7226432505858204,0.4145953878779847
0.019908251887920225,2,0.25581339091692323,0.0012627072195515315
0.4411589804710865,2,0.550405653434104,0.12028951429322297
0.38811099417049433,4,0.7356039296727558,0.1060863643919793
0.08061965115292746,1,0.6047662437526585,0.04690785623976413
0.3278065173767858,2,0.4270717759226461,0.06132171744553867
0.06806969861399403,1,0.9434026895950711,0.05703575997339323
0.8910624790102443,1,0.7276574734448251,0.4825002802871245
0.5164165301059179,1,0.9260615941077036,0.3918011139848083
0.49500523104037164,4,0.7762326730212613,0.15615117581323562
0.710745917191738,4,0.03364678793844644,9.236160740202155e-07
0.4646360176176282,1,0.25495473497695453,0.11482601759918357
0.4028996086733827,2,0.35791741726976034,0.053651906450999036
0.13095459403276333,3,0.6322228167033629,0.03127712909159261
0.6924043123266361,2,0.7502611612130818,0.3345337258484175
0.8562651515503362,1,0.5296704861345903,0.38997454970036405
0.1846571603016528,4,0.9341561452745772,0.1167772221457879
0.017148764444165354,3,0.3057328543376817,0.00045862544112736304
0.003208972220974382,2,0.31101239309570605,0.00028511032913437214
0.8270130678029209,2,0.6115961499851088,0.25664187250787734
0.06088670397804008,4,0.019136055366608007,7.902172398805297e-09
0.8577107776392306,3,0.6313157760639171,0.19106833682990426
0.5980530724488216,4,0.4592212833947522,0.02617893305881545
0.027537985308429658,4,0.8127957581590787,0.012252558051130786
0.7446373234071216,4,0.6681817972282914,0.14147274048781058
0.19228146612858055,3,0.8371561851185376,0.08909740099247382
0.5558267464457004,3,0.682595568887842,0.15716337121012858
0.9247307615392506,3,0.9511892835842429,0.4869763830004089
0.09002362922961415,3,0.07106608780285295,3.537052291897593e-05
0.5645525709366808,2,0.306497681290428,0.05448003058074918
0.9274665165526472,1,0.758349823018434,0.5108411034323691
0.47013027771488025,3,0.48080709876147887,0.05435249585333916
0.5633785610572951,4,0.8638975919944426,0.26668139269194124
0.9823463043003605,2,0.623572460315758,0.27681844475154205
0.3542935096192633,1,0.26701561486715175,0.08985257347328492
0.25604596401332025,3,0.4383822169135958,0.02072104818293554
0.22075415054455017,2,0.8300527517960804,0.15182620693017107
0.8462689443344997,1,0.2286675752827566,0.19075471719703702
0.25245714804964814,1,0.8956886164948071,0.19741667649855746
