k,n,t,y
0.17313947862093593,4,0.33075820728143557,0.0020700875855419465
0.7516911313359966,1,0.11468387292213567,0.08259555368514626
0.7096874713475908,4,0.9866059453265758,0.48952938913901844
0.5793258164253822,1,0.6088685631120888,0.2972353884283345
0.9233594821681909,4,0.5690343335711634,0.09227244781680177
0.4162101809993567,3,0.8835363028185693,0.24953985554027147
0.46425388689081915,2,0.5500703468708408,0.13105263725886895
0.6051639119477772,2,0.053491236235870265,0.001730064687223254
0.6289483337450661,2,0.6165513535240627,0.21265254447235116
0.8949440183022562,2,0.2139970362387449,0.04015524490755795
